,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FR_Start,GMT,23:23:39,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:23:45,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.0060329563228883895,0.00421551453759066,0.0028793676097319115,0.002277690410138149,0.0003337915264636162,0.0004961307928463721,-0.0017661000692957955,-0.004932135635211866,-0.0068515970407364195,-0.009597072898382648,-0.013143589295224474,-0.013905727714317107,-0.014384805791805592,-0.015500576376246801,-0.015813238598154717,-0.0168670126764684,-0.01613035424084533,-0.01710067289422746,-0.020574906375977815,-0.020462396008869493,-0.020824488909825124,-0.01936824934132649,-0.021521819744148664,-0.020692195576776796
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8665161132812,998.8577270507812,998.8856811523438,998.8884887695312,998.84326171875,998.864990234375,998.8756103515625,998.8605346679688,998.8865966796875,998.8834228515625,998.8721923828125,998.8499145507812,998.8815307617188,998.8599853515625,998.8790893554688,998.8681030273438,998.8624267578125,998.885986328125,998.85498046875,998.8790893554688,998.8646850585938,998.872802734375,998.846435546875,998.8656005859375
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.1673228349,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.2099737536,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003,-0.21981627330000003
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027134215459227562,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.027053574100136757,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.0270109623670578,0.027327103540301323,0.027327103540301323,0.027327103540301323,0.027327103540301323,0.027327103540301323,0.027327103540301323
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:23:39,23:23:39,23:23:40,23:23:40,23:23:40,23:23:40,23:23:41,23:23:41,23:23:41,23:23:41,23:23:42,23:23:42,23:23:42,23:23:42,23:23:43,23:23:43,23:23:43,23:23:43,23:23:44,23:23:44,23:23:44,23:23:44,23:23:45,23:23:45
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,83,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,20,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,
