,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
FR_Start,GMT,23:26:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_Stop,GMT,23:26:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climb_Rate,0.011973227258012071,0.007206980783075513,0.002916697855629801,-9.406201303144281e-05,-0.0026402089832603583,-0.00557922302209785,-0.008766202842623718,-0.012015663851178764,-0.01462123431092254,-0.014905885050823353,-0.017263267821719684,-0.020893037979155732,-0.020192431627110718,-0.01716119663958843,-0.01675303413187391,-0.018344564498798458,-0.016451196090496147,-0.014923605540586124,-0.01406083814492617,-0.014257755731527834,-0.014035895933022817,-0.013850781821195457,-0.015461267108068848,-0.0161387278941249,-0.01488955176725979,-0.014999568829833856,-0.014222484333376867,-0.013056118916667905,-0.013033460706160823,-0.013966369097208185
Throttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Last_Fuel,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,998.8797607421875,998.8865966796875,998.8536376953125,998.8878784179688,998.8721923828125,998.87060546875,998.8837890625,998.8687133789062,998.8831787109375,998.8681030273438,998.8878784179688,998.8477172851562,998.8624267578125,998.8652954101562,998.8797607421875,998.846435546875,998.8505249023438,998.8568725585938,998.8712158203125,998.8577270507812,998.8712158203125,998.8756103515625,998.8486328125,998.8637084960938,998.8818359375,998.8499145507812,998.857421875,998.8862915039062,998.8605346679688,998.854248046875
Yaw,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,-0.1541994753,-0.1541994753,-0.1541994753,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.1673228349,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.1509186354,-0.1509186354,-0.1509186354,-0.1509186354,-0.1509186354
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027339449152350426,0.027339449152350426,0.027339449152350426,0.02766372449696064,0.02766372449696064,0.02766372449696064,0.02766372449696064,0.02766372449696064,0.02766372449696064,0.02766372449696064,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027995051816105843,0.027716267853975296,0.027716267853975296,0.027716267853975296,0.027716267853975296,0.027716267853975296,0.027716267853975296,0.027634132653474808,0.027634132653474808,0.027634132653474808,0.027634132653474808,0.027634132653474808
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
